0.000,0.000,0.000,0.000,,-0.007,-0.011,0.006,0.000,-0.002,-0.006,-0.002,-0.004,-0.004,-0.003,-0.003,0.000,0.000,0.000,0.000,0.000
-0.040,-0.046,-0.050,-0.060,-0.027,-0.017,-0.014,-0.016,-0.013,-0.008,-0.010,-0.011,-0.009,-0.016,-0.017,-0.010,-0.044,-0.048,-0.053,-0.025,-0.015
-0.058,-0.070,-0.080,-0.085,-0.054,-0.023,-0.024,-0.021,-0.019,-0.014,-0.013,-0.013,-0.017,-0.020,-0.021,-0.020,-0.084,-0.083,-0.082,-0.048,-0.038
-0.034,-0.059,-0.070,-0.075,-0.035,-0.023,-0.029,-0.021,-0.011,-0.009,-0.011,-0.012,-0.011,-0.020,-0.023,-0.023,-0.080,-0.070,-0.085,-0.051,-0.041
-0.005,-0.025,-0.060,-0.040,0.000,-0.035,-0.026,-0.022,-0.008,-0.004,-0.004,0.000,-0.015,-0.015,-0.020,-0.063,-0.013,-0.045,-0.055,-0.044,-0.040
0.000,-0.025,-0.055,-0.050,-0.005,-0.072,-0.100,-0.070,-0.018,-0.020,-0.022,-0.019,-0.016,-0.082,-0.106,-0.095,-0.053,-0.056,-0.056,-0.047,-0.040
-0.018,-0.057,-0.070,-0.065,-0.074,-0.095,-0.095,-0.090,-0.090,-0.095,-0.090,-0.090,-0.102,-0.104,-0.110,-0.100,-0.075,-0.082,-0.059,-0.045,-0.035
0.000,-0.053,-0.065,-0.060,-0.040,-0.054,-0.075,-0.075,-0.070,-0.070,-0.075,-0.080,-0.085,-0.081,-0.085,-0.072,-0.054,-0.053,-0.054,-0.044,-0.044
0.000,-0.040,-0.065,-0.040,-0.010,-0.030,-0.045,-0.035,-0.010,-0.017,-0.015,0.000,-0.009,-0.050,-0.074,-0.057,-0.011,-0.036,-0.064,-0.063,-0.055
-0.080,-0.093,-0.067,-0.052,-0.051,-0.045,-0.037,-0.045,-0.040,-0.035,-0.025,-0.025,-0.034,-0.059,-0.063,-0.060,-0.056,-0.073,-0.089,-0.076,-0.065
-0.097,-0.100,-0.085,-0.070,-0.061,-0.054,-0.065,-0.062,-0.056,-0.054,-0.040,-0.035,-0.052,-0.070,-0.069,-0.070,-0.084,-0.100,-0.105,-0.095,-0.095
-0.070,-0.088,-0.065,-0.044,-0.037,-0.043,-0.038,-0.038,-0.030,-0.025,-0.025,-0.025,-0.042,-0.055,-0.060,-0.055,-0.065,-0.087,-0.095,-0.056,-0.054
-0.030,-0.057,-0.045,-0.011,-0.030,-0.040,-0.030,-0.020,-0.016,-0.010,-0.015,-0.025,-0.027,-0.015,-0.020,-0.022,-0.020,-0.050,-0.080,-0.050,-0.040